id,image_id,prediction_list
1,002824.jpg,"[['person', 0.4549327790737152, 24, 19, 496, 428]]"
2,000473.jpg,"[['aeroplane', 0.7451033592224121, 423, 126, 452, 145]]"
3,000358.jpg,"[['car', 0.5800594091415405, 63, 95, 390, 287], ['person', 0.5795482993125916, 22, 30, 109, 288]]"
4,006052.jpg,"[['cat', 0.4788331389427185, 126, 47, 492, 360]]"
5,004758.jpg,"[['dog', 0.3369586169719696, 41, 41, 134, 306]]"
6,003385.jpg,"[['car', 0.7410146594047546, 351, 90, 443, 138], ['person', 0.6246680021286011, 150, 63, 327, 346], ['car', 0.40660491585731506, 154, 84, 230, 135], ['car', 0.3151691257953644, -14, 94, 190, 311], ['pottedplant', 0.2559814751148224, 31, 58, 75, 92], ['car', 0.21608617901802063, 291, 135, 522, 324], ['car', 0.13415022194385529, -5, 90, 169, 220]]"
7,003494.jpg,"[['person', 0.6101590394973755, 60, 213, 124, 389], ['aeroplane', 0.2757371664047241, 18, 13, 510, 280], ['person', 0.19313596189022064, 392, 209, 509, 399], ['car', 0.18666796386241913, 3, 206, 53, 232], ['car', 0.10538582503795624, 20, 210, 63, 228]]"
8,002128.jpg,"[['bicycle', 0.27486518025398254, 11, 34, 477, 323]]"
9,007962.jpg,"[['person', 0.7966143488883972, 136, 169, 335, 380], ['dog', 0.20022213459014893, 36, 158, 216, 360]]"
10,003583.jpg,"[['person', 0.44791552424430847, 159, 4, 309, 302], ['person', 0.42431360483169556, 454, 184, 482, 292], ['horse', 0.3571377396583557, 72, 126, 377, 340], ['horse', 0.2523336410522461, 11, 112, 169, 319]]"
11,003922.jpg,"[['person', 0.5949183106422424, 207, 28, 356, 192], ['horse', 0.5568479299545288, 93, 37, 417, 344]]"
12,009725.jpg,"[['bicycle', 0.49606946110725403, 2, 232, 124, 348]]"
13,002850.jpg,"[['tvmonitor', 0.6235116124153137, 336, 99, 403, 192], ['tvmonitor', 0.442621111869812, 202, 87, 308, 190]]"
